Тип предприятия,Код предприятия,Количество хостов,Код реализованной угрозы,Успех,Регион размещения предприятия,Дата инцидента,Региональное время
маркетинг,1388,1684,144,0,Амурская область,03.12.2025,03.12.2025 14:43
маркетинг,2778,484,69,1,Нижегородская область,06.10.2025,06.10.2025 07:04
розничная торговля,7122,765,108,1,Оренбургская область,07.06.2023,07.06.2023 16:16
отели,8124,1416,158,0,Свердловская область,08.08.2023,08.08.2023 09:19
металлургия,6484,880,216,1,Самарская область,20.06.2025,20.06.2025 13:27
НКО,9739,478,77,1,Приморский край,16.02.2024,17.02.2024 01:20
розничная торговля,6525,853,75,1,Амурская область,11.05.2024,11.05.2024 19:24
автобизнес,6438,947,30,0,Еврейская автономная область,04.01.2024,05.01.2024 07:49
медицина,0441,1689,119,0,Ханты-Мансийский автономный округ - Югра,19.08.2024,20.08.2024 03:04
реклама,8181,485,163,1,Тульская область,01.06.2024,02.06.2024 00:09
реклама,6177,351,115,1,Республика Саха (Якутия),31.03.2025,01.04.2025 02:32
реклама,8908,275,203,1,Республика Хакасия,24.06.2023,24.06.2023 10:49
отели,5817,540,166,0,Забайкальский край,29.03.2025,29.03.2025 19:50
реклама,1736,221,26,1,Воронежская область,11.11.2025,12.11.2025 02:33
медицина,9512,1608,148,0,Тюменская область,05.02.2025,05.02.2025 17:29
фармацевтика,8200,508,89,0,Оренбургская область,03.08.2023,03.08.2023 14:26
добыча,1902,1902,187,0,Волгоградская область,30.09.2024,30.09.2024 13:29
ресторанный бизнес,8538,1189,90,1,Вологодская область,16.06.2025,17.06.2025 02:44
консалтинг,5226,337,77,0,Новгородская область,16.02.2023,16.02.2023 13:41
химия,2693,1716,63,0,Иркутская область,24.11.2023,24.11.2023 18:35
реклама,7571,674,205,1,Камчатский край,13.01.2024,13.01.2024 17:40
реклама,6482,259,189,0,Тюменская область,29.05.2025,29.05.2025 17:00
ресторанный бизнес,3372,770,193,0,Амурская область,28.07.2023,29.07.2023 02:11
системная интеграция,5341,603,118,0,Республика Мордовия,29.09.2025,29.09.2025 19:40
телекоммуникации,9781,995,157,1,Еврейская автономная область,22.08.2023,22.08.2023 21:22
консалтинг,2827,1866,173,1,Сахалинская область,23.06.2023,24.06.2023 08:08
телекоммуникации,1932,688,79,0,Орловская область,03.02.2025,04.02.2025 01:09
безопасность,6365,1056,153,0,Амурская область,24.02.2025,24.02.2025 22:11
логистика,8805,1620,166,0,Республика Бурятия,08.12.2023,08.12.2023 23:18
энергетика,3066,844,216,1,Магаданская область,20.04.2023,20.04.2023 22:00
логистика,2237,599,209,1,Республика Бурятия,01.11.2025,02.11.2025 04:31
реклама,8057,1051,182,1,Омская область,09.12.2023,09.12.2023 08:36
металлургия,3614,798,9,1,Воронежская область,14.08.2024,14.08.2024 08:49
консалтинг,9268,1720,198,1,Иркутская область,12.11.2025,12.11.2025 11:36
химия,4390,1787,140,1,Красноярский край,27.03.2023,28.03.2023 06:28
медицина,3581,1070,27,0,Пермский край,08.03.2023,08.03.2023 19:16
системная интеграция,1426,1099,222,0,Тульская область,05.03.2024,06.03.2024 02:37
системная интеграция,9999,1495,110,0,Сахалинская область,13.10.2023,13.10.2023 17:52
ресторанный бизнес,0973,1367,90,1,Хабаровский край,11.12.2023,11.12.2023 20:45
информационные технологии,4741,1372,69,0,Ивановская область,22.04.2025,22.04.2025 04:17
НКО,2079,1636,222,0,Республика Марий,27.10.2023,28.10.2023 01:20
отели,6435,1202,37,1,Камчатский край,28.04.2025,29.04.2025 00:28
добыча,1526,1025,132,1,Ростовская область,20.07.2025,20.07.2025 18:20
фармацевтика,0041,1979,199,0,Свердловская область,03.01.2025,03.01.2025 07:50
медицина,6517,646,110,0,Томская область,03.07.2024,03.07.2024 17:53
информационные технологии,5534,1320,148,0,Забайкальский край,20.09.2025,20.09.2025 19:57
машиностроение,0753,403,161,1,Москва,12.09.2023,12.09.2023 08:28
консалтинг,0012,1076,52,0,Севастополь,10.09.2024,10.09.2024 08:55
автобизнес,1530,1540,93,1,Ненецкий автономный округ,31.01.2025,01.02.2025 00:57
НКО,2712,306,102,1,Рязанская область,29.05.2025,29.05.2025 23:05
химия,0018,637,123,0,Ярославская область,08.04.2024,08.04.2024 19:43
консалтинг,0153,216,179,1,Тверская область,14.05.2025,15.05.2025 01:08
логистика,1161,668,99,0,Псковская область,31.07.2023,31.07.2023 13:23
информационные технологии,2247,983,199,0,Республика Крым,20.10.2023,20.10.2023 05:33
фармацевтика,0139,1449,167,0,Ханты-Мансийский автономный округ - Югра,20.12.2024,21.12.2024 04:13
НКО,2481,1043,158,1,Тамбовская область,27.06.2023,27.06.2023 06:08
химия,9660,1695,99,1,Республика Карачаево-Черкесия,06.10.2024,06.10.2024 07:15
автобизнес,1381,708,142,1,Московская область,09.09.2024,09.09.2024 09:33
образование,8349,586,192,1,Удмуртская Республика,22.04.2023,22.04.2023 10:31
маркетинг,1848,693,128,0,Республика Алтай,25.01.2023,25.01.2023 18:59
телекоммуникации,2163,992,221,1,Республика Калмыкия,20.12.2023,20.12.2023 18:49
добыча,0274,1402,18,0,Республика Мордовия,17.03.2024,17.03.2024 04:59
машиностроение,6521,1237,74,1,Республика Карачаево-Черкесия,03.04.2025,03.04.2025 05:40
медицина,8809,1461,40,1,Ненецкий автономный округ,26.09.2024,26.09.2024 05:32
ресторанный бизнес,2546,1298,84,1,Еврейская автономная область,16.05.2023,16.05.2023 19:44
реклама,3910,318,63,0,Ямало-Ненецкий автономный округ,26.08.2023,26.08.2023 19:39
образование,0902,833,171,0,Тверская область,26.01.2023,27.01.2023 01:08
металлургия,2685,1216,89,1,Брянская область,31.01.2025,31.01.2025 07:47
автобизнес,1935,1779,8,1,Республика Карачаево-Черкесия,11.07.2024,11.07.2024 19:04
автобизнес,9448,1485,20,1,Свердловская область,12.11.2025,12.11.2025 16:03
логистика,9288,541,95,0,Чувашская Республика,30.07.2023,30.07.2023 21:43
химия,3743,1717,131,0,Республика Карелия,26.01.2023,26.01.2023 10:02
логистика,5964,984,39,0,Республика Адыгея,08.05.2025,08.05.2025 10:20
отели,6820,1675,82,1,Мурманская область,02.02.2025,02.02.2025 06:32
машиностроение,2939,657,206,0,Республика Ингушетия,22.05.2023,22.05.2023 17:55
информационные технологии,5091,870,23,1,Санкт-Петербург,25.01.2025,25.01.2025 09:18
фармацевтика,4980,1714,160,0,Челябинская область,24.01.2025,24.01.2025 23:31
ресторанный бизнес,8955,1757,204,0,Костромская область,14.01.2023,14.01.2023 16:01
отели,8873,909,163,0,Самарская область,03.01.2023,04.01.2023 00:24
информационные технологии,1704,620,136,0,Республика Дагестан,04.10.2025,04.10.2025 04:09
автобизнес,1525,289,60,1,Ростовская область,27.07.2025,28.07.2025 02:05
фармацевтика,1566,1235,35,1,Мурманская область,08.05.2023,08.05.2023 16:42
энергетика,3880,797,67,1,Республика Северная Осетия-Алания,30.10.2024,30.10.2024 13:28
автобизнес,3828,352,52,0,Республика Саха (Якутия),12.08.2023,12.08.2023 13:06
розничная торговля,7366,1154,81,1,Тверская область,03.01.2025,03.01.2025 09:28
информационные технологии,7592,742,219,0,Архангельская область,19.11.2023,20.11.2023 00:19
образование,0661,640,214,1,Владимирская область,06.07.2023,07.07.2023 01:15
